,country,age,overall_score,gender,country_id
37929,US,15,28,F,234
37930,US,29,25,F,234
37931,GB,16,28,F,78
37932,US,51,27,F,234
37933,BG,22,27,F,22
37934,SG,17,27,F,199
37935,US,14,29,F,234
37936,SG,14,28,F,199
37937,US,23,25,F,234
37938,US,32,27,F,234
37939,SA,26,27,F,194
37940,US,18,28,0,234
37941,MY,20,30,M,159
37942,US,16,31,F,234
37943,US,0,26,F,234
37944,US,11,26,F,234
37945,IN,48,32,M,106
37946,GB,25,29,M,78
37947,US,23,27,F,234
37948,AT,26,24,M,12
37949,CA,15,25,O,38
37950,US,0,27,0,234
37952,DK,33,27,M,59
37953,GB,23,26,M,78
37954,GR,19,28,M,90
37955,US,25,26,F,234
37956,US,28,29,F,234
37957,GB,69,26,M,78
37958,GR,24,25,M,90
37959,IL,27,26,F,104
37960,BR,53,27,M,31
37961,PL,18,26,M,180
37962,US,18,30,F,234
37963,US,17,25,F,234
37964,PH,19,34,F,178
37965,IL,18,31,F,104
37966,GB,17,27,M,78
37967,US,41,24,F,234
37968,CA,17,10,F,38
37969,PL,30,29,F,180
37970,US,38,24,M,234
37971,US,21,30,M,234
37972,US,19,30,F,234
37973,US,18,25,M,234
37974,US,56,24,M,234
37975,GB,14,25,M,78
37976,AU,13,27,M,13
37977,US,21,31,F,234
37978,US,19,23,F,234
37979,GB,16,25,F,78
37980,CA,21,25,F,38
37981,CA,40,25,F,38
37982,US,29,26,F,234
37983,US,60,25,M,234
37984,CA,17,29,M,38
37985,US,19,30,O,234
37986,US,23,25,F,234
37987,US,18,28,F,234
37988,AU,29,24,M,13
37989,US,16,25,M,234
37990,US,28,24,M,234
37991,US,25,25,F,234
37992,US,16,28,F,234
37993,US,23,28,M,234
37994,US,19,26,F,234
37995,US,45,25,M,234
37996,US,38,28,F,234
37997,CA,27,26,F,38
37998,CN,23,27,F,48
37999,US,16,31,F,234
38000,US,18,25,F,234
38001,US,13,27,M,234
38002,US,50,25,F,234
38003,US,15,27,F,234
38004,US,17,28,M,234
38007,US,22,37,F,234
38008,IN,20,26,M,106
